Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua José de Figueiredo Seixas;Imirim;2;1;Apartamento;R$ 1.600;2296;Rua José de Figueiredo Seixas, São Paulo, Brasil;50;Imirim, Rua José de Figueiredo Seixas;Imirim, Rua José de Figueiredo Seixas, São Paulo, Brasil
Rua Antônio Júlio dos Santos;Fazenda Morumbi;2;1;Apartamento;R$ 1.600;2247;Rua Antônio Júlio dos Santos, São Paulo, Brasil;50;Fazenda Morumbi, Rua Antônio Júlio dos Santos;Fazenda Morumbi, Rua Antônio Júlio dos Santos, São Paulo, Brasil
Rua Santo Egídio;Santa Teresinha;2;1;Apartamento;R$ 1.600;2219;Rua Santo Egídio, São Paulo, Brasil;50;Santa Teresinha, Rua Santo Egídio;Santa Teresinha, Rua Santo Egídio, São Paulo, Brasil
Rua Padre Jerônimo Vermin;Jardim Maria Estela;2;1;Apartamento;R$ 1.600;2121;Rua Padre Jerônimo Vermin, São Paulo, Brasil;50;Jardim Maria Estela, Rua Padre Jerônimo Vermin;Jardim Maria Estela, Rua Padre Jerônimo Vermin, São Paulo, Brasil
Rua Manguari;Jardim Andaraí;2;1;Apartamento;R$ 1.600;2006;Rua Manguari, São Paulo, Brasil;50;Jardim Andaraí, Rua Manguari;Jardim Andaraí, Rua Manguari, São Paulo, Brasil
Rua Fagundes Varela;Vila Príncipe De Gales;2;1;Apartamento;R$ 1.550;2177;Rua Fagundes Varela, São Paulo, Brasil;50;Vila Príncipe De Gales, Rua Fagundes Varela;Vila Príncipe De Gales, Rua Fagundes Varela, São Paulo, Brasil
Clodomiro de Oliveira;Vila Andrade;2;1;Apartamento;R$ 1.550;2060;Clodomiro de Oliveira, São Paulo, Brasil;50;Vila Andrade, Clodomiro de Oliveira;Vila Andrade, Clodomiro de Oliveira, São Paulo, Brasil
Avenida Nossa Senhora do Sabará;Vila Emir;2;1;Apartamento;R$ 1.539;2018;Avenida Nossa Senhora do Sabará, São Paulo, Brasil;50;Vila Emir, Avenida Nossa Senhora do Sabará;Vila Emir, Avenida Nossa Senhora do Sabará, São Paulo, Brasil
Rua Joaquim Morais;Vila Santa Catarina;2;1;Apartamento;R$ 1.500;2353;Rua Joaquim Morais, São Paulo, Brasil;50;Vila Santa Catarina, Rua Joaquim Morais;Vila Santa Catarina, Rua Joaquim Morais, São Paulo, Brasil
Rua Domingos da Fonseca;Parque Da Mooca;2;1;Apartamento;R$ 1.500;2310;Rua Domingos da Fonseca, São Paulo, Brasil;50;Parque Da Mooca, Rua Domingos da Fonseca;Parque Da Mooca, Rua Domingos da Fonseca, São Paulo, Brasil
Rua Copacabana;Chora Menino;2;1;Apartamento;R$ 1.500;2209;Rua Copacabana, São Paulo, Brasil;50;Chora Menino, Rua Copacabana;Chora Menino, Rua Copacabana, São Paulo, Brasil
Rua João Ferreira de Abreu;Vila Arriete;2;1;Apartamento;R$ 1.500;2058;Rua João Ferreira de Abreu, São Paulo, Brasil;50;Vila Arriete, Rua João Ferreira de Abreu;Vila Arriete, Rua João Ferreira de Abreu, São Paulo, Brasil
Rua Mexicana;Vila Endres;2;1;Apartamento;R$ 1.500;2023;Rua Mexicana, São Paulo, Brasil;50;Vila Endres, Rua Mexicana;Vila Endres, Rua Mexicana, São Paulo, Brasil
Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto;Jardim Leonor Mendes De Barros;2;1;Apartamento;R$ 1.500;2005;Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto, São Paulo, Brasil;50;Jardim Leonor Mendes De Barros, Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto;Jardim Leonor Mendes De Barros, Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto, São Paulo, Brasil
Rua Caraputinga;Vila America;2;1;Apartamento;R$ 1.500;1960;Rua Caraputinga, São Paulo, Brasil;50;Vila America, Rua Caraputinga;Vila America, Rua Caraputinga, São Paulo, Brasil
Praça Almirante Pena Botto;Jardim Satelite;2;1;Apartamento;R$ 1.500;1958;Praça Almirante Pena Botto, São Paulo, Brasil;50;Jardim Satelite, Praça Almirante Pena Botto;Jardim Satelite, Praça Almirante Pena Botto, São Paulo, Brasil
Avenida Gaivota Preta;Jardim Valeria;2;1;Apartamento;R$ 1.500;1788;Avenida Gaivota Preta, São Paulo, Brasil;50;Jardim Valeria, Avenida Gaivota Preta;Jardim Valeria, Avenida Gaivota Preta, São Paulo, Brasil
Rua Professor Alves Pedroso;Cangaíba;2;1;Apartamento;R$ 1.490;1810;Rua Professor Alves Pedroso, São Paulo, Brasil;50;Cangaíba, Rua Professor Alves Pedroso;Cangaíba, Rua Professor Alves Pedroso, São Paulo, Brasil
Rua Antônio Guarmerino;Cursino;2;1;Apartamento;R$ 1.480;2067;Rua Antônio Guarmerino, São Paulo, Brasil;50;Cursino, Rua Antônio Guarmerino;Cursino, Rua Antônio Guarmerino, São Paulo, Brasil
Avenida Yervant Kissajikian;Vila Constança;2;1;Apartamento;R$ 1.460;2036;Avenida Yervant Kissajikian, São Paulo, Brasil;50;Vila Constança, Avenida Yervant Kissajikian;Vila Constança, Avenida Yervant Kissajikian, São Paulo, Brasil
Rua Avinhao;Jardim Das Maravilhas;2;1;Apartamento;R$ 1.460;1606;Rua Avinhao, São Paulo, Brasil;50;Jardim Das Maravilhas, Rua Avinhao;Jardim Das Maravilhas, Rua Avinhao, São Paulo, Brasil
Avenida Leonardo da Vinci;Vila Guarani (Z Sul);2;1;Apartamento;R$ 1.450;2416;Avenida Leonardo da Vinci, São Paulo, Brasil;50;Vila Guarani (Z Sul), Avenida Leonardo da Vinci;Vila Guarani (Z Sul), Avenida Leonardo da Vinci, São Paulo, Brasil
Avenida Guarulhos;Vila Venditti;2;1;Apartamento;R$ 1.450;1936;Avenida Guarulhos, São Paulo, Brasil;50;Vila Venditti, Avenida Guarulhos;Vila Venditti, Avenida Guarulhos, São Paulo, Brasil
Rua Bactória;Jardim Vila Formosa;2;1;Apartamento;R$ 1.430;1903;Rua Bactória, São Paulo, Brasil;50;Jardim Vila Formosa, Rua Bactória;Jardim Vila Formosa, Rua Bactória, São Paulo, Brasil
Rua Rubem de Souza;Vila Inglesa;2;1;Apartamento;R$ 1.428;1903;Rua Rubem de Souza, São Paulo, Brasil;50;Vila Inglesa, Rua Rubem de Souza;Vila Inglesa, Rua Rubem de Souza, São Paulo, Brasil
Rua Pires de Almeida;Vila Pita;2;1;Apartamento;R$ 1.400;2149;Rua Pires de Almeida, São Paulo, Brasil;50;Vila Pita, Rua Pires de Almeida;Vila Pita, Rua Pires de Almeida, São Paulo, Brasil
Rua Glória do Goitá;Jardim Independência (São Paulo);2;1;Apartamento;R$ 1.400;2046;Rua Glória do Goitá, São Paulo, Brasil;50;Jardim Independência (São Paulo), Rua Glória do Goitá;Jardim Independência (São Paulo), Rua Glória do Goitá, São Paulo, Brasil
Rua Padre Gualberto Lima;Parque Monteiro Soares;2;1;Apartamento;R$ 1.400;1978;Rua Padre Gualberto Lima, São Paulo, Brasil;50;Parque Monteiro Soares, Rua Padre Gualberto Lima;Parque Monteiro Soares, Rua Padre Gualberto Lima, São Paulo, Brasil
Rua Carlos Bigatti;Jardim Castelo;2;1;Apartamento;R$ 1.400;1854;Rua Carlos Bigatti, São Paulo, Brasil;50;Jardim Castelo, Rua Carlos Bigatti;Jardim Castelo, Rua Carlos Bigatti, São Paulo, Brasil
Rua Augusto de Mendonça;Vila Dalila;2;1;Apartamento;R$ 1.380;1519;Rua Augusto de Mendonça, São Paulo, Brasil;50;Vila Dalila, Rua Augusto de Mendonça;Vila Dalila, Rua Augusto de Mendonça, São Paulo, Brasil
Rua Professora Nina Stocco;Jardim Catanduva;2;1;Apartamento;R$ 1.365;1815;Rua Professora Nina Stocco, São Paulo, Brasil;50;Jardim Catanduva, Rua Professora Nina Stocco;Jardim Catanduva, Rua Professora Nina Stocco, São Paulo, Brasil
Avenida Príncipe de Gales;Vila Príncipe De Gales;2;1;Apartamento;R$ 1.356;2009;Avenida Príncipe de Gales, São Paulo, Brasil;50;Vila Príncipe De Gales, Avenida Príncipe de Gales;Vila Príncipe De Gales, Avenida Príncipe de Gales, São Paulo, Brasil
Rua Desembargador Rodrigues Sette;Jardim Peri;2;1;Apartamento;R$ 1.350;2022;Rua Desembargador Rodrigues Sette, São Paulo, Brasil;50;Jardim Peri, Rua Desembargador Rodrigues Sette;Jardim Peri, Rua Desembargador Rodrigues Sette, São Paulo, Brasil
Avenida Aricanduva;Vila California;2;1;Apartamento;R$ 1.350;1902;Avenida Aricanduva, São Paulo, Brasil;50;Vila California, Avenida Aricanduva;Vila California, Avenida Aricanduva, São Paulo, Brasil
Rua Campo Santo;Parque Das Nações;2;1;Apartamento;R$ 1.350;1402;Rua Campo Santo, São Paulo, Brasil;50;Parque Das Nações, Rua Campo Santo;Parque Das Nações, Rua Campo Santo, São Paulo, Brasil
Rua Jorge Cândido Marin;Taboão;2;1;Apartamento;R$ 1.300;2000;Rua Jorge Cândido Marin, São Paulo, Brasil;50;Taboão, Rua Jorge Cândido Marin;Taboão, Rua Jorge Cândido Marin, São Paulo, Brasil
Rua José de Figueiredo Seixas;Sítio Do Mandaqui;2;1;Apartamento;R$ 1.300;1992;Rua José de Figueiredo Seixas, São Paulo, Brasil;50;Sítio Do Mandaqui, Rua José de Figueiredo Seixas;Sítio Do Mandaqui, Rua José de Figueiredo Seixas, São Paulo, Brasil
Rua Costa Barros;Sítio Pinheirinho;2;1;Apartamento;R$ 1.300;1800;Rua Costa Barros, São Paulo, Brasil;50;Sítio Pinheirinho, Rua Costa Barros;Sítio Pinheirinho, Rua Costa Barros, São Paulo, Brasil
Rua Agostinho Correia;Vila Regina;2;1;Apartamento;R$ 1.300;1650;Rua Agostinho Correia, São Paulo, Brasil;50;Vila Regina, Rua Agostinho Correia;Vila Regina, Rua Agostinho Correia, São Paulo, Brasil
Avenida Padre Arlindo Vieira;Vila Vermelha;2;1;Apartamento;R$ 1.272;2008;Avenida Padre Arlindo Vieira, São Paulo, Brasil;50;Vila Vermelha, Avenida Padre Arlindo Vieira;Vila Vermelha, Avenida Padre Arlindo Vieira, São Paulo, Brasil
R. João Rossi;Jardim Cocaia;2;1;Apartamento;R$ 1.261;1962;R. João Rossi, São Paulo, Brasil;50;Jardim Cocaia, R. João Rossi;Jardim Cocaia, R. João Rossi, São Paulo, Brasil
Rua Ibaial;Chácara Do Vovó;2;1;Apartamento;R$ 1.250;1599;Rua Ibaial, São Paulo, Brasil;50;Chácara Do Vovó, Rua Ibaial;Chácara Do Vovó, Rua Ibaial, São Paulo, Brasil
Rua Jaime Costa;Vila Camilópolis;2;1;Apartamento;R$ 1.250;1478;Rua Jaime Costa, São Paulo, Brasil;50;Vila Camilópolis, Rua Jaime Costa;Vila Camilópolis, Rua Jaime Costa, São Paulo, Brasil
Rua Aquiles Jovane;Jardim Celeste;2;1;Apartamento;R$ 1.220;1881;Rua Aquiles Jovane, São Paulo, Brasil;50;Jardim Celeste, Rua Aquiles Jovane;Jardim Celeste, Rua Aquiles Jovane, São Paulo, Brasil
Rua Vicente de Souza Barros;Chácara Cruzeiro Do Sul;2;1;Apartamento;R$ 1.200;2031;Rua Vicente de Souza Barros, São Paulo, Brasil;50;Chácara Cruzeiro Do Sul, Rua Vicente de Souza Barros;Chácara Cruzeiro Do Sul, Rua Vicente de Souza Barros, São Paulo, Brasil
Rua Ventura Carneiro;Vila Celeste;2;1;Apartamento;R$ 1.200;1736;Rua Ventura Carneiro, São Paulo, Brasil;50;Vila Celeste, Rua Ventura Carneiro;Vila Celeste, Rua Ventura Carneiro, São Paulo, Brasil
Avenida Arraias do Araguaia;Jardim Imperador (Zona Leste);2;1;Apartamento;R$ 1.200;1559;Avenida Arraias do Araguaia, São Paulo, Brasil;50;Jardim Imperador (Zona Leste), Avenida Arraias do Araguaia;Jardim Imperador (Zona Leste), Avenida Arraias do Araguaia, São Paulo, Brasil
Rua Floro de Oliveira;Jardim Adriana;2;1;Apartamento;R$ 1.200;1547;Rua Floro de Oliveira, São Paulo, Brasil;50;Jardim Adriana, Rua Floro de Oliveira;Jardim Adriana, Rua Floro de Oliveira, São Paulo, Brasil
Rua Edmundo Carvalho;Vila Natália;2;1;Apartamento;R$ 1.150;1811;Rua Edmundo Carvalho, São Paulo, Brasil;50;Vila Natália, Rua Edmundo Carvalho;Vila Natália, Rua Edmundo Carvalho, São Paulo, Brasil
Avenida Salgado Filho;Centro;2;1;Apartamento;R$ 1.120;1364;Avenida Salgado Filho, São Paulo, Brasil;50;Centro, Avenida Salgado Filho;Centro, Avenida Salgado Filho, São Paulo, Brasil
Rua Madri;Utinga;2;1;Apartamento;R$ 1.090;1537;Rua Madri, São Paulo, Brasil;50;Utinga, Rua Madri;Utinga, Rua Madri, São Paulo, Brasil
Rua Alexandre Rapin;Jardim Sao Saverio;2;1;Apartamento;R$ 1.040;1770;Rua Alexandre Rapin, São Paulo, Brasil;50;Jardim Sao Saverio, Rua Alexandre Rapin;Jardim Sao Saverio, Rua Alexandre Rapin, São Paulo, Brasil
Avenida Miguel Estefno;Vila Da Saúde;2;1;Apartamento;R$ 1.000;1696;Avenida Miguel Estefno, São Paulo, Brasil;50;Vila Da Saúde, Avenida Miguel Estefno;Vila Da Saúde, Avenida Miguel Estefno, São Paulo, Brasil
Avenida do Taboão;Taboão;2;1;Apartamento;R$ 1.000;1670;Avenida do Taboão, São Paulo, Brasil;50;Taboão, Avenida do Taboão;Taboão, Avenida do Taboão, São Paulo, Brasil
Avenida Padre Arlindo Vieira;Jardim Vergueiro (Sacomã);2;1;Apartamento;R$ 985;1561;Avenida Padre Arlindo Vieira, São Paulo, Brasil;50;Jardim Vergueiro (Sacomã), Avenida Padre Arlindo Vieira;Jardim Vergueiro (Sacomã), Avenida Padre Arlindo Vieira, São Paulo, Brasil
Avenida Gaivota Preta;Jardim Valéria;2;1;Apartamento;R$ 950;1221;Avenida Gaivota Preta, São Paulo, Brasil;50;Jardim Valéria, Avenida Gaivota Preta;Jardim Valéria, Avenida Gaivota Preta, São Paulo, Brasil
Rua das Águias Reais;Vila Cardoso Franco;2;1;Apartamento;R$ 791;1212;Rua das Águias Reais, São Paulo, Brasil;50;Vila Cardoso Franco, Rua das Águias Reais;Vila Cardoso Franco, Rua das Águias Reais, São Paulo, Brasil
Rua Nhu-guaçu;Nova Piraju;2;1;Apartamento;R$ 7.500;9157;Rua Nhu-guaçu, São Paulo, Brasil;60;Nova Piraju, Rua Nhu-guaçu;Nova Piraju, Rua Nhu-guaçu, São Paulo, Brasil
Rua Alvorada;Vila Olímpia;2;1;Apartamento;R$ 6.500;8359;Rua Alvorada, São Paulo, Brasil;60;Vila Olímpia, Rua Alvorada;Vila Olímpia, Rua Alvorada, São Paulo, Brasil
Rua Doutor Plínio Barreto;Bela Vista;2;1;Apartamento;R$ 5.500;6504;Rua Doutor Plínio Barreto, São Paulo, Brasil;60;Bela Vista, Rua Doutor Plínio Barreto;Bela Vista, Rua Doutor Plínio Barreto, São Paulo, Brasil
Rua Doutor Ivo Define Frasca;Vila Olímpia;2;1;Apartamento;R$ 5.239;6242;Rua Doutor Ivo Define Frasca, São Paulo, Brasil;60;Vila Olímpia, Rua Doutor Ivo Define Frasca;Vila Olímpia, Rua Doutor Ivo Define Frasca, São Paulo, Brasil
Rua Teodureto Souto;Cambuci;2;1;Apartamento;R$ 5.125;6152;Rua Teodureto Souto, São Paulo, Brasil;60;Cambuci, Rua Teodureto Souto;Cambuci, Rua Teodureto Souto, São Paulo, Brasil
Praça General Araripe de Faria;Vila Gomes;2;1;Apartamento;R$ 4.523;6000;Praça General Araripe de Faria, São Paulo, Brasil;60;Vila Gomes, Praça General Araripe de Faria;Vila Gomes, Praça General Araripe de Faria, São Paulo, Brasil
Rua Padre Carvalho;Pinheiros;2;1;Apartamento;R$ 4.500;6188;Rua Padre Carvalho, São Paulo, Brasil;60;Pinheiros, Rua Padre Carvalho;Pinheiros, Rua Padre Carvalho, São Paulo, Brasil
Rua Francisco Tapajós;Vila Santo Estefano;2;1;Apartamento;R$ 4.230;5089;Rua Francisco Tapajós, São Paulo, Brasil;60;Vila Santo Estefano, Rua Francisco Tapajós;Vila Santo Estefano, Rua Francisco Tapajós, São Paulo, Brasil
Rua Luís Correia de Melo;Vila Cruzeiro;2;1;Apartamento;R$ 4.200;4999;Rua Luís Correia de Melo, São Paulo, Brasil;60;Vila Cruzeiro, Rua Luís Correia de Melo;Vila Cruzeiro, Rua Luís Correia de Melo, São Paulo, Brasil
Avenida Bernardino de Campos;Paraíso;2;1;Apartamento;R$ 4.135;4807;Avenida Bernardino de Campos, São Paulo, Brasil;60;Paraíso, Avenida Bernardino de Campos;Paraíso, Avenida Bernardino de Campos, São Paulo, Brasil
Alameda dos Guaiós;Planalto Paulista;2;1;Apartamento;R$ 4.000;5301;Alameda dos Guaiós, São Paulo, Brasil;60;Planalto Paulista, Alameda dos Guaiós;Planalto Paulista, Alameda dos Guaiós, São Paulo, Brasil
Rua Amapá;Vila Canero;2;1;Apartamento;R$ 4.000;4507;Rua Amapá, São Paulo, Brasil;60;Vila Canero, Rua Amapá;Vila Canero, Rua Amapá, São Paulo, Brasil
Rua Teodoro Sampaio;Pinheiros;2;1;Apartamento;R$ 3.900;6176;Rua Teodoro Sampaio, São Paulo, Brasil;60;Pinheiros, Rua Teodoro Sampaio;Pinheiros, Rua Teodoro Sampaio, São Paulo, Brasil
Avenida Macuco;Moema;2;1;Apartamento;R$ 3.900;5903;Avenida Macuco, São Paulo, Brasil;60;Moema, Avenida Macuco;Moema, Avenida Macuco, São Paulo, Brasil
Rua Catão;Vila Romana;2;1;Apartamento;R$ 3.600;4511;Rua Catão, São Paulo, Brasil;60;Vila Romana, Rua Catão;Vila Romana, Rua Catão, São Paulo, Brasil
Rua Conselheiro Cotegipe;Belenzinho;2;1;Apartamento;R$ 3.600;4048;Rua Conselheiro Cotegipe, São Paulo, Brasil;60;Belenzinho, Rua Conselheiro Cotegipe;Belenzinho, Rua Conselheiro Cotegipe, São Paulo, Brasil
Rua Joaquim Ferreira;Água Branca;2;1;Apartamento;R$ 3.500;4686;Rua Joaquim Ferreira, São Paulo, Brasil;60;Água Branca, Rua Joaquim Ferreira;Água Branca, Rua Joaquim Ferreira, São Paulo, Brasil
Rua Doutor Augusto de Miranda;Vila Pompéia;2;1;Apartamento;R$ 3.500;4525;Rua Doutor Augusto de Miranda, São Paulo, Brasil;60;Vila Pompéia, Rua Doutor Augusto de Miranda;Vila Pompéia, Rua Doutor Augusto de Miranda, São Paulo, Brasil
Rua Barata Ribeiro;Bela Vista;2;1;Apartamento;R$ 3.500;4469;Rua Barata Ribeiro, São Paulo, Brasil;60;Bela Vista, Rua Barata Ribeiro;Bela Vista, Rua Barata Ribeiro, São Paulo, Brasil
Rua Doutor Olavo Egídio;Santana;2;1;Apartamento;R$ 3.500;4463;Rua Doutor Olavo Egídio, São Paulo, Brasil;60;Santana, Rua Doutor Olavo Egídio;Santana, Rua Doutor Olavo Egídio, São Paulo, Brasil
Rua Silva Teles;Pari;2;1;Apartamento;R$ 3.500;4385;Rua Silva Teles, São Paulo, Brasil;60;Pari, Rua Silva Teles;Pari, Rua Silva Teles, São Paulo, Brasil
Avenida Professor Luiz Ignácio Anhaia Mello;Jardim Avelino;2;1;Apartamento;R$ 3.500;4146;Avenida Professor Luiz Ignácio Anhaia Mello, São Paulo, Brasil;60;Jardim Avelino, Avenida Professor Luiz Ignácio Anhaia Mello;Jardim Avelino, Avenida Professor Luiz Ignácio Anhaia Mello, São Paulo, Brasil
Rua Itapimirum;Vila Andrade;2;1;Apartamento;R$ 3.400;4471;Rua Itapimirum, São Paulo, Brasil;60;Vila Andrade, Rua Itapimirum;Vila Andrade, Rua Itapimirum, São Paulo, Brasil
Rua Doutor Francisco José Longo;Chácara Inglesa;2;1;Apartamento;R$ 3.340;4547;Rua Doutor Francisco José Longo, São Paulo, Brasil;60;Chácara Inglesa, Rua Doutor Francisco José Longo;Chácara Inglesa, Rua Doutor Francisco José Longo, São Paulo, Brasil
Avenida Vereador João de Luca;Jardim Prudência;2;1;Apartamento;R$ 3.330;4361;Avenida Vereador João de Luca, São Paulo, Brasil;60;Jardim Prudência, Avenida Vereador João de Luca;Jardim Prudência, Avenida Vereador João de Luca, São Paulo, Brasil
Alameda Jaú;Jardim Paulista;2;1;Apartamento;R$ 3.300;4574;Alameda Jaú, São Paulo, Brasil;60;Jardim Paulista, Alameda Jaú;Jardim Paulista, Alameda Jaú, São Paulo, Brasil
Rua Capote Valente;Pinheiros;2;1;Apartamento;R$ 3.200;3973;Rua Capote Valente, São Paulo, Brasil;60;Pinheiros, Rua Capote Valente;Pinheiros, Rua Capote Valente, São Paulo, Brasil
Rua São Jorge;Tatuapé;2;1;Apartamento;R$ 3.100;4120;Rua São Jorge, São Paulo, Brasil;60;Tatuapé, Rua São Jorge;Tatuapé, Rua São Jorge, São Paulo, Brasil
Rua Aimberê;Perdizes;2;1;Apartamento;R$ 3.000;4346;Rua Aimberê, São Paulo, Brasil;60;Perdizes, Rua Aimberê;Perdizes, Rua Aimberê, São Paulo, Brasil
Rua Pio Xii;Liberdade;2;1;Apartamento;R$ 3.000;4119;Rua Pio Xii, São Paulo, Brasil;60;Liberdade, Rua Pio Xii;Liberdade, Rua Pio Xii, São Paulo, Brasil
Rua Luís Martins;Lapa;2;1;Apartamento;R$ 3.000;4097;Rua Luís Martins, São Paulo, Brasil;60;Lapa, Rua Luís Martins;Lapa, Rua Luís Martins, São Paulo, Brasil
Rua Doutor Augusto de Miranda;Pompeia;2;1;Apartamento;R$ 3.000;4031;Rua Doutor Augusto de Miranda, São Paulo, Brasil;60;Pompeia, Rua Doutor Augusto de Miranda;Pompeia, Rua Doutor Augusto de Miranda, São Paulo, Brasil
Rua Canuto Borelli;Vila Castelo;2;1;Apartamento;R$ 2.950;3588;Rua Canuto Borelli, São Paulo, Brasil;60;Vila Castelo, Rua Canuto Borelli;Vila Castelo, Rua Canuto Borelli, São Paulo, Brasil
Rua Barros Sobrinho;Vila Ema;2;1;Apartamento;R$ 2.900;3898;Rua Barros Sobrinho, São Paulo, Brasil;60;Vila Ema, Rua Barros Sobrinho;Vila Ema, Rua Barros Sobrinho, São Paulo, Brasil
Rua Alexandre Levi;Cambuci;2;1;Apartamento;R$ 2.880;3469;Rua Alexandre Levi, São Paulo, Brasil;60;Cambuci, Rua Alexandre Levi;Cambuci, Rua Alexandre Levi, São Paulo, Brasil
Rua Itapeva;Bela Vista;2;1;Apartamento;R$ 2.800;3909;Rua Itapeva, São Paulo, Brasil;60;Bela Vista, Rua Itapeva;Bela Vista, Rua Itapeva, São Paulo, Brasil
Rua Jovina;Vila Mascote;2;1;Apartamento;R$ 2.800;3808;Rua Jovina, São Paulo, Brasil;60;Vila Mascote, Rua Jovina;Vila Mascote, Rua Jovina, São Paulo, Brasil
Rua Londrina;Vila Endres;2;1;Apartamento;R$ 2.800;3510;Rua Londrina, São Paulo, Brasil;60;Vila Endres, Rua Londrina;Vila Endres, Rua Londrina, São Paulo, Brasil
Avenida Albert Bartholome;Jardim Das Vertentes;2;1;Apartamento;R$ 2.750;3623;Avenida Albert Bartholome, São Paulo, Brasil;60;Jardim Das Vertentes, Avenida Albert Bartholome;Jardim Das Vertentes, Avenida Albert Bartholome, São Paulo, Brasil
Rua Campos Sales;Vila Boa Vista;2;1;Apartamento;R$ 2.750;3240;Rua Campos Sales, São Paulo, Brasil;60;Vila Boa Vista, Rua Campos Sales;Vila Boa Vista, Rua Campos Sales, São Paulo, Brasil
Rua Marie Nader Calfat;Jardim Ampliação;2;1;Apartamento;R$ 2.684;3728;Rua Marie Nader Calfat, São Paulo, Brasil;60;Jardim Ampliação, Rua Marie Nader Calfat;Jardim Ampliação, Rua Marie Nader Calfat, São Paulo, Brasil
Rua Afonso Bandeira de Melo;Campo Belo;2;1;Apartamento;R$ 2.620;3967;Rua Afonso Bandeira de Melo, São Paulo, Brasil;60;Campo Belo, Rua Afonso Bandeira de Melo;Campo Belo, Rua Afonso Bandeira de Melo, São Paulo, Brasil
Rua Engenheiro Jorge Oliva;Vila Mascote;2;1;Apartamento;R$ 2.600;3780;Rua Engenheiro Jorge Oliva, São Paulo, Brasil;60;Vila Mascote, Rua Engenheiro Jorge Oliva;Vila Mascote, Rua Engenheiro Jorge Oliva, São Paulo, Brasil
Rua Alvorada do Norte;Vila Mangalot;2;1;Apartamento;R$ 2.600;3438;Rua Alvorada do Norte, São Paulo, Brasil;60;Vila Mangalot, Rua Alvorada do Norte;Vila Mangalot, Rua Alvorada do Norte, São Paulo, Brasil
Av. Gen. Valdomiro de Lima;Jabaquara;2;1;Apartamento;R$ 2.580;2879;Av. Gen. Valdomiro de Lima, São Paulo, Brasil;60;Jabaquara, Av. Gen. Valdomiro de Lima;Jabaquara, Av. Gen. Valdomiro de Lima, São Paulo, Brasil
Avenida José Lourenço;Jaguaribe;2;1;Apartamento;R$ 2.550;3249;Avenida José Lourenço, São Paulo, Brasil;60;Jaguaribe, Avenida José Lourenço;Jaguaribe, Avenida José Lourenço, São Paulo, Brasil
Rua Maestro Cállia;Vila Mariana;2;1;Apartamento;R$ 2.500;4120;Rua Maestro Cállia, São Paulo, Brasil;60;Vila Mariana, Rua Maestro Cállia;Vila Mariana, Rua Maestro Cállia, São Paulo, Brasil
Rua Bueno de Andrade;Aclimação;2;1;Apartamento;R$ 2.500;3538;Rua Bueno de Andrade, São Paulo, Brasil;60;Aclimação, Rua Bueno de Andrade;Aclimação, Rua Bueno de Andrade, São Paulo, Brasil
